evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,178.775609,178.775609,169.565609,169.565609,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
2,178.7535359,178.7535359,169.5435359,169.5435359,-3.8504,3.3081,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
3,178.8916487,178.7535359,169.6816487,169.5435359,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2506,4.6661,2.6559,1.6747
4,178.8451729,178.7535359,169.6351729,169.5435359,-3.8504,3.291,-2.6629,2.0672,2.4675,-2.8924,2.2756,4.6661,2.6559,1.6747
5,178.8145943,178.7535359,169.6045943,169.5435359,-3.8504,3.291,-2.6863,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
6,178.5941117,178.5941117,169.3841117,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6793,1.6747
7,178.8078977,178.5941117,169.5978977,169.3841117,-3.8504,3.266,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
8,178.8513525,178.5941117,169.6413525,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.9135,2.2756,4.6661,2.6559,1.6747
10,178.8294698,178.5941117,169.6194698,169.3841117,-3.8504,3.291,-2.6629,2.0422,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
11,178.750609,178.5941117,169.540609,169.3841117,-3.8254,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
12,178.7535359,178.5941117,169.5435359,169.3841117,-3.8504,3.3081,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
14,178.7217481,178.5941117,169.5117481,169.3841117,-3.8504,3.291,-2.6629,2.0922,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
15,178.92548,178.5941117,169.71548,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6411,2.6559,1.6747
17,178.6595692,178.5941117,169.4495692,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.3006,4.6661,2.6559,1.6747
19,178.7555938,178.5941117,169.5455938,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6695,2.6559,1.6747
22,178.6657485,178.5941117,169.4557485,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8674,2.2756,4.6695,2.6559,1.6747
25,178.7650322,178.5941117,169.5550322,169.3841117,-3.8619,3.3081,-2.6629,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
28,178.9357636,178.5941117,169.7257636,169.3841117,-3.8504,3.291,-2.6629,2.0672,2.4425,-2.8674,2.2756,4.6661,2.6559,1.6997
31,178.7974916,178.5941117,169.5874916,169.3841117,-3.8504,3.291,-2.6629,2.0922,2.4425,-2.9135,2.2756,4.6661,2.6559,1.6747
35,178.7450303,178.4095692,169.5350303,169.1995692,-3.8504,3.291,-2.6863,2.0672,2.4175,-2.8924,2.2756,4.6661,2.6559,1.6747
39,178.6319027,178.4095692,169.4219027,169.1995692,-3.8504,3.291,-2.6629,2.0922,2.4425,-2.8674,2.2756,4.6661,2.6559,1.6747
44,178.8400053,178.4095692,169.6300053,169.1995692,-3.8504,3.291,-2.6629,2.0672,2.4175,-2.8924,2.3006,4.6661,2.6559,1.6997
50,178.6219732,178.4095692,169.4119732,169.1995692,-3.8504,3.291,-2.6379,2.0672,2.4675,-2.8924,2.2756,4.6661,2.6793,1.6747
56,178.630111,178.4095692,169.420111,169.1995692,-3.8504,3.3081,-2.6629,2.0922,2.4175,-2.8924,2.2756,4.6661,2.6559,1.6747
63,178.7344535,178.4095692,169.5244535,169.1995692,-3.8619,3.3081,-2.6863,2.0672,2.4175,-2.8924,2.2756,4.6661,2.6559,1.6747
70,178.6233839,178.4095692,169.4133839,169.1995692,-3.8619,3.291,-2.6629,2.0922,2.4425,-2.8674,2.2756,4.6695,2.6559,1.6747
79,179.2070059,178.3336353,169.9970059,169.1236353,-3.8619,3.291,-2.6629,2.0422,2.4425,-2.8924,2.2506,4.6661,2.6559,1.6997
89,179.3325239,178.3336353,170.1225239,169.1236353,-3.8619,3.266,-2.6629,2.0672,2.4675,-2.8924,2.2756,4.6661,2.6309,1.6997
100,178.9438179,178.3336353,169.7338179,169.1236353,-3.8504,3.291,-2.6379,2.0422,2.4175,-2.9135,2.2756,4.6411,2.6559,1.6747
112,179.0229631,178.264472,169.8129631,169.054472,-3.8504,3.266,-2.6863,2.0422,2.4175,-2.9135,2.2506,4.6661,2.6559,1.6747
125,178.4081617,178.264472,169.1981617,169.054472,-3.8254,3.266,-2.6863,2.0922,2.4425,-2.8674,2.2756,4.6695,2.6559,1.6497
141,178.5137935,178.264472,169.3037935,169.054472,-3.8504,3.3081,-2.6863,2.0922,2.4175,-2.8674,2.2506,4.6661,2.6793,1.6747
158,179.0856589,178.264472,169.8756589,169.054472,-3.8619,3.266,-2.6379,2.0422,2.4675,-2.8924,2.2506,4.6661,2.6793,1.6997
177,178.3475465,178.264472,169.1375465,169.054472,-3.8619,3.3081,-2.6379,2.0922,2.4425,-2.9135,2.3006,4.6411,2.6793,1.6497
199,178.2379808,178.1487825,169.0279808,168.9387825,-3.8254,3.266,-2.6379,2.0422,2.4175,-2.8674,2.3006,4.6411,2.6793,1.6497
223,178.8145943,178.1377575,169.6045943,168.9277575,-3.8504,3.291,-2.6863,2.0672,2.4425,-2.8924,2.2756,4.6661,2.6559,1.6747
251,178.6682585,177.9968692,169.4582585,168.7868692,-3.8504,3.3081,-2.6379,2.0922,2.4425,-2.9135,2.2506,4.6661,2.6793,1.6747
281,178.6303378,177.9968692,169.4203378,168.7868692,-3.8619,3.3081,-2.6863,2.0922,2.4175,-2.8674,2.2506,4.6695,2.6309,1.6497
316,178.130917,177.9968692,168.920917,168.7868692,-3.8619,3.3081,-2.6863,2.0422,2.4175,-2.8674,2.3006,4.6695,2.6793,1.6497
354,178.3118671,177.8571086,169.1018671,168.6471086,-3.8504,3.291,-2.6379,2.0422,2.4425,-2.8674,2.3006,4.6695,2.6559,1.6497
398,178.4578425,177.8571086,169.2478425,168.6471086,-3.8504,3.291,-2.6379,2.0422,2.4824,-2.9135,2.2939,4.6661,2.6793,1.6497
446,178.61053,177.5340183,169.40053,168.3240183,-3.8619,3.3081,-2.6788,2.0422,2.4295,-2.9135,2.3006,4.6695,2.6414,1.6497
501,178.3620445,177.5340183,169.1520445,168.3240183,-3.8615,3.266,-2.6629,2.0672,2.4175,-2.8674,2.3006,4.6661,2.6793,1.6747
562,178.1160581,177.5340183,168.9060581,168.3240183,-3.8619,3.3081,-2.6863,2.0942,2.4175,-2.8674,2.3006,4.6695,2.7313,1.6997
