evaluation,fitness,best_fitness,measured_fitness,best_measured_fitness,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,9251769.69,9251769.69,9251559.81,9251559.81,0.57045,4.2843,1.5419,-2.8699,1.2011,4.8791,2.9165,-2.7895,-1.2975,-0.4484
2,2017007.137,2017007.137,2016797.257,2016797.257,-0.55726,4.9287,-1.6658,2.803,-0.65599,-4.7594,0.69474,4.5594,-2.7241,3.0903
46,374790.0719,374790.0719,374580.1919,374580.1919,0.70932,-1.6758,-3.186,-3.206,2.5136,1.3084,0.56373,1.6721,-2.0225,2.8058
254,176788.1802,176788.1802,176578.3002,176578.3002,2.9619,6.9569,-4.032,0.096904,-3.7749,-1.0387,2.4484,0.94188,-1.6119,2.7686
339,143995.3757,143995.3757,143785.4957,143785.4957,-2.4382,-2.4738,-0.82486,-2.8955,-1.4069,1.7981,0.7009,-0.36816,-1.793,2.738
371,64297.71608,64297.71608,64087.83608,64087.83608,-0.50411,-4.5724,-1.2685,-1.776,1.9997,1.2939,-0.064981,-0.073834,-1.2098,2.64
407,61640.95222,61640.95222,61431.07222,61431.07222,2.6389,1.5637,-3.064,-3.0839,2.0998,1.1565,1.2194,0.76795,-1.3256,2.5834
414,39057.71176,39057.71176,38847.83176,38847.83176,1.8625,6.9069,-5.3345,0.61685,-5.529,2.3222,2.5378,0.043815,-1.3371,2.5636
571,18541.47692,18541.47692,18331.59692,18331.59692,2.5213,-5.759,-1.8063,-1.402,-1.0026,1.8453,2.5905,0.32442,-1.1941,2.5556
725,5631.522382,5631.522382,5421.642382,5421.642382,-1.1824,1.87,-4.0266,-2.3746,3.6385,2.5656,2.4416,0.013652,-1.0944,2.6105
932,3615.059201,3615.059201,3405.179201,3405.179201,-0.60307,4.731,-4.8318,1.5875,3.0007,2.8829,2.3226,0.021365,-1.0755,2.6206
1123,1928.019178,1928.019178,1718.139178,1718.139178,3.4238,6.4466,-1.7812,2.7515,1.1204,2.7995,2.0428,-0.04543,-1.1275,2.6005
1211,837.8361087,837.8361087,627.9561087,627.9561087,3.8318,-0.18331,0.09899,0.46496,2.2124,2.6205,2.3677,-0.093238,-1.1187,2.5951
1459,572.8059713,572.8059713,362.9259713,362.9259713,3.4986,-0.25265,0.60364,1.866,1.8093,2.8353,2.2401,-0.14779,-1.0949,2.5951
1650,353.2182607,353.2182607,143.3382607,143.3382607,3.5789,-1.599,0.62158,2.2282,1.8917,2.8563,2.2996,-0.11158,-1.1193,2.597
1891,227.3606042,227.3606042,17.48060424,17.48060424,5.1734,-1.682,2.2172,2.7663,1.7503,2.7392,2.2767,-0.11704,-1.1101,2.595
1980,147.1522943,147.1522943,-62.72770571,-62.72770571,3.5843,0.46575,1.8631,2.4753,1.8107,2.7336,2.2951,-0.089723,-1.116,2.5963
2138,95.32272996,95.32272996,-114.55727,-114.55727,1.8631,2.0909,3.5514,2.1148,1.9663,2.6727,2.2925,-0.089919,-1.1105,2.5962
2178,60.69966105,60.69966105,-149.1803389,-149.1803389,2.8032,0.64624,3.3288,2.1222,1.9115,2.6883,2.2926,-0.089609,-1.1114,2.5983
2372,35.21494833,35.21494833,-174.6650517,-174.6650517,0.65911,0.38297,2.6281,2.3446,1.8113,2.6492,2.3127,-0.082012,-1.1155,2.6024
2527,23.00354074,23.00354074,-186.8764593,-186.8764593,3.8988,1.3435,3.2981,2.2805,1.866,2.6874,2.3158,-0.096472,-1.1142,2.6028
2609,9.556127668,9.556127668,-200.3238723,-200.3238723,1.612,0.78437,3.4446,2.3817,1.8619,2.7014,2.3136,-0.08475,-1.1144,2.6041
2969,5.399427259,5.399427259,-204.4805727,-204.4805727,0.63438,0.79099,3.4258,2.3818,1.8029,2.7011,2.3084,-0.090997,-1.113,2.6033
3058,3.377939673,3.377939673,-206.5020603,-206.5020603,0.62568,0.24754,3.563,2.3613,1.8038,2.691,2.313,-0.089426,-1.1134,2.6038
3739,2.446307693,2.446307693,-207.4336923,-207.4336923,0.81215,0.52084,3.4713,2.3572,1.7883,2.6811,2.3203,-0.091675,-1.1133,2.604
5454,1.562460551,1.562460551,-208.3175394,-208.3175394,1.2101,0.44513,3.5754,2.383,1.7965,2.6865,2.3206,-0.090251,-1.1131,2.604
6858,0.9540084546,0.9540084546,-208.9259915,-208.9259915,1.1922,0.49829,3.5856,2.3889,1.7793,2.6879,2.3201,-0.090071,-1.1125,2.6039
7122,0.5841563974,0.5841563974,-209.2958436,-209.2958436,1.2171,0.40662,3.5659,2.3902,1.7891,2.6876,2.3203,-0.089861,-1.112,2.6039
7282,0.3331477862,0.3331477862,-209.5468522,-209.5468522,1.2397,0.40461,3.5683,2.3772,1.7917,2.6879,2.3202,-0.089816,-1.1115,2.6039
7443,0.1985460055,0.1985460055,-209.681454,-209.681454,1.2333,0.39972,3.5715,2.3949,1.791,2.6878,2.3201,-0.0897,-1.1111,2.6039
7495,0.1207973182,0.1207973182,-209.7592027,-209.7592027,1.2139,0.39803,3.5556,2.387,1.7826,2.6879,2.3202,-0.090048,-1.1109,2.6039
7615,0.06294132251,0.06294132251,-209.8170587,-209.8170587,1.1868,0.40734,3.5593,2.3887,1.7846,2.6879,2.32,-0.089863,-1.1106,2.6039
8044,0.03698076414,0.03698076414,-209.8430192,-209.8430192,1.2195,0.46133,3.5651,2.3819,1.784,2.6878,2.3201,-0.090113,-1.1103,2.604
8364,0.02505865691,0.02505865691,-209.8549413,-209.8549413,1.1838,0.46915,3.564,2.3838,1.7856,2.6878,2.3203,-0.090356,-1.1105,2.604
9178,0.01489297868,0.01489297868,-209.865107,-209.865107,1.2061,0.45498,3.554,2.3878,1.7858,2.6879,2.3205,-0.090565,-1.1103,2.604
9924,0.009489109215,0.009489109215,-209.8705109,-209.8705109,1.2153,0.45604,3.5522,2.3856,1.7859,2.6879,2.3207,-0.090444,-1.1104,2.604
10496,0.00466653018,0.00466653018,-209.8753335,-209.8753335,1.2175,0.45228,3.5515,2.3848,1.7858,2.688,2.3212,-0.090444,-1.1104,2.604
